"Module","ProjType","Suffix","File"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\Permission\UserRelationEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\AdvancedQuerySchemeEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\ApiLogEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\BillRuleEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\ComFieldsEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\CommonWordsEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\DataInterfaceEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\DataInterfaceLogEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\DataInterfaceUserEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\DataInterfaceVariateEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\DbLinkEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\DictionaryDataEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\DictionaryTypeEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\InterfaceOauthEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\ModuleButtonEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\ModuleColumnEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\ModuleDataAuthorizeEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\ModuleDataAuthorizeLinkEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\ModuleDataAuthorizeSchemeEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\ModuleEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\ModuleFormEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\PortalManageEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\PrintDevEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\PrintLogEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\ProvinceAtlasEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\ProvinceEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\ScheduleEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\ScheduleLogEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\ScheduleUserEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\SignatureEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\SignatureUserEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\SynThirdInfoEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\SysConfigEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\SysLogEntity.cs"
"system","system","Entity","modularity\system\JNPF.Systems.Entitys\Entity\System\SystemEntity.cs"
"system","system","Mapper","modularity\system\JNPF.Systems.Entitys\Mapper\SystemMapper.cs"
"taskscheduler","business","Service","modularity\taskscheduler\JNPF.TaskScheduler\TimeTaskService.cs"
"taskscheduler","business","other","modularity\taskscheduler\JNPF.TaskScheduler\Listener\OnlineUserJob.cs"
"taskscheduler","business","other","modularity\taskscheduler\JNPF.TaskScheduler\Listener\ScheduleJob.cs"
"taskscheduler","business","other","modularity\taskscheduler\JNPF.TaskScheduler\Listener\SpareTimeDemo.cs"
"taskscheduler","taskscheduler","other","modularity\taskscheduler\JNPF.TaskScheduler.Entitys\Entity\JobDetails.cs"
"taskscheduler","taskscheduler","other","modularity\taskscheduler\JNPF.TaskScheduler.Entitys\Entity\JobTriggers.cs"
"taskscheduler","taskscheduler","Entity","modularity\taskscheduler\JNPF.TaskScheduler.Entitys\Entity\TimeTaskEntity.cs"
"taskscheduler","taskscheduler","Entity","modularity\taskscheduler\JNPF.TaskScheduler.Entitys\Entity\TimeTaskLogEntity.cs"
"visualdata","business","Service","modularity\visualdata\JNPF.VisualData\ScreenCategoryService.cs"
"visualdata","business","Service","modularity\visualdata\JNPF.VisualData\ScreenComponentService.cs"
"visualdata","business","Service","modularity\visualdata\JNPF.VisualData\ScreenDataSourceService.cs"
"visualdata","business","Service","modularity\visualdata\JNPF.VisualData\ScreenGlobalService.cs"
"visualdata","business","Service","modularity\visualdata\JNPF.VisualData\ScreenMapConfigService.cs"
"visualdata","business","Service","modularity\visualdata\JNPF.VisualData\ScreenRecordService.cs"
"visualdata","business","Service","modularity\visualdata\JNPF.VisualData\ScreenService.cs"
"visualdata","visualdata","Entity","modularity\visualdata\JNPF.VisualData.Entitys\Entity\VisualCategoryEntity.cs"
"visualdata","visualdata","Entity","modularity\visualdata\JNPF.VisualData.Entitys\Entity\VisualComponentEntity.cs"
"visualdata","visualdata","Entity","modularity\visualdata\JNPF.VisualData.Entitys\Entity\VisualConfigEntity.cs"
"visualdata","visualdata","Entity","modularity\visualdata\JNPF.VisualData.Entitys\Entity\VisualDBEntity.cs"
"visualdata","visualdata","Entity","modularity\visualdata\JNPF.VisualData.Entitys\Entity\VisualEntity.cs"
"visualdata","visualdata","Entity","modularity\visualdata\JNPF.VisualData.Entitys\Entity\VisualGlobalEntity.cs"
"visualdata","visualdata","Entity","modularity\visualdata\JNPF.VisualData.Entitys\Entity\VisualMapEntity.cs"
"visualdata","visualdata","Entity","modularity\visualdata\JNPF.VisualData.Entitys\Entity\VisualRecordEntity.cs"
"visualdev","business","Service","modularity\visualdev\JNPF.VisualDev\DashboardService.cs"
"visualdev","business","Service","modularity\visualdev\JNPF.VisualDev\PortalService.cs"
"visualdev","business","Service","modularity\visualdev\JNPF.VisualDev\RunService.cs"
"visualdev","business","Service","modularity\visualdev\JNPF.VisualDev\VisualDevModelDataService.cs"
"visualdev","business","Service","modularity\visualdev\JNPF.VisualDev\VisualDevService.cs"
"visualdev","business","Service","modularity\visualdev\JNPF.VisualDev\VisualdevShortLinkService.cs"
"visualdev","business","other","modularity\visualdev\JNPF.VisualDev\Query\ListChildTableHelpers.cs"
"visualdev","business","other","modularity\visualdev\JNPF.VisualDev\Query\ListConditionalByTableNameFilter.cs"
"visualdev","business","other","modularity\visualdev\JNPF.VisualDev\Query\ListSuperQueryInputRewriter.cs"
"visualdev","business","other","modularity\visualdev\JNPF.VisualDev\Runtime\CompileConditionalConverter.cs"
"visualdev","business","other","modularity\visualdev\JNPF.VisualDev\Runtime\RunSqlCompileGateway.cs"
"visualdev","visualdev","Entity","modularity\visualdev\JNPF.VisualDev.Entitys\Entity\PortalDataEntity.cs"
"visualdev","visualdev","Entity","modularity\visualdev\JNPF.VisualDev.Entitys\Entity\PortalEntity.cs"
"visualdev","visualdev","Entity","modularity\visualdev\JNPF.VisualDev.Entitys\Entity\VisualDevEntity.cs"
"visualdev","visualdev","Entity","modularity\visualdev\JNPF.VisualDev.Entitys\Entity\VisualDevReleaseEntity.cs"
"visualdev","visualdev","Entity","modularity\visualdev\JNPF.VisualDev.Entitys\Entity\VisualDevShortLinkEntity.cs"
"workflow","business","Manager","modularity\workflow\JNPF.WorkFlow\Manager\FlowTaskManager.cs"
"workflow","business","Util","modularity\workflow\JNPF.WorkFlow\Manager\FlowTaskUserUtil.cs"
"workflow","business","Repository","modularity\workflow\JNPF.WorkFlow\Repository\FlowTaskRepository.cs"
"workflow","business","Service","modularity\workflow\JNPF.WorkFlow\Service\FlowBeforeService.cs"
"workflow","business","Service","modularity\workflow\JNPF.WorkFlow\Service\FlowCommentService.cs"
"workflow","business","Service","modularity\workflow\JNPF.WorkFlow\Service\FlowDelegateService.cs"
"workflow","business","Service","modularity\workflow\JNPF.WorkFlow\Service\FlowFormService.cs"
"workflow","business","Service","modularity\workflow\JNPF.WorkFlow\Service\FlowMonitorService.cs"
"workflow","business","Service","modularity\workflow\JNPF.WorkFlow\Service\FlowTemplateService.cs"
"workflow","business","Service","modularity\workflow\JNPF.WorkFlow\WorkFlowForm\LeaveApplyService.cs"
"workflow","business","Service","modularity\workflow\JNPF.WorkFlow\WorkFlowForm\SalesOrderService.cs"
"workflow","workflow","Entity","modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowCandidatesEntity.cs"
"workflow","workflow","Entity","modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowCommentEntity.cs"
"workflow","workflow","Entity","modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowDelegateEntity.cs"
"workflow","workflow","Entity","modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowEventLogEntity.cs"
"workflow","workflow","Entity","modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowFormAuthorizeEntity.cs"
"workflow","workflow","Entity","modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowFormEntity.cs"
"workflow","workflow","Entity","modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowFormRelationEntity.cs"
"workflow","workflow","Entity","modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowRejectDataEntity.cs"
"workflow","workflow","Entity","modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowTaskCirculateEntity.cs"
"workflow","workflow","Entity","modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowTaskEntity.cs"
"workflow","workflow","Entity","modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowTaskNodeEntity.cs"
"workflow","workflow","Entity","modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowTaskOperatorEntity.cs"
"workflow","workflow","Entity","modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowTaskOperatorRecordEntity.cs"
"workflow","workflow","Entity","modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowTaskOperatorUserEntity.cs"
"workflow","workflow","Entity","modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowTemplateEntity.cs"
"workflow","workflow","Entity","modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowTemplateJsonEntity.cs"
"workflow","workflow","Entity","modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowUserEntity.cs"
"workflow","workflow","Entity","modularity\workflow\JNPF.WorkFlow.Entitys\Entity\FlowVisibleEntity.cs"
"workflow","workflow","Entity","modularity\workflow\JNPF.WorkFlow.Entitys\Entity\WorkFlowForm\LeaveApplyEntity.cs"
"workflow","workflow","Entity","modularity\workflow\JNPF.WorkFlow.Entitys\Entity\WorkFlowForm\SalesOrderEntity.cs"
"workflow","workflow","Entity","modularity\workflow\JNPF.WorkFlow.Entitys\Entity\WorkFlowForm\SalesOrderEntryEntity.cs"
"workflow","workflow","Repository","modularity\workflow\JNPF.WorkFlow.Interfaces\Repository\IFlowTaskRepository.cs"
"zxdev","business","Controller","modularity\zxdev\JNPF.ZxDev\ConfigController.cs"
"zxdev","business","Controller","modularity\zxdev\JNPF.ZxDev\MessageController.cs"
"zxdev","business","Controller","modularity\zxdev\JNPF.ZxDev\ZxSystemController.cs"
"zxdev","zxdev","other","modularity\zxdev\JNPF.ZxDev.Entitys\SysConfig.cs"
"zxdev","zxdev","other","modularity\zxdev\JNPF.ZxDev.Entitys\SystemAppCheckModel.cs"
"zxdev","zxdev","Entity","modularity\zxdev\JNPF.ZxDev.Entitys\SystemDbEntity.cs"
